en,zh-hant,zh-hans
coincidental cohesion,內聚巧合,
coincident-current selection,符流選擇,電流重合選取法
cold back-up,冷備份,冷備份
cold boot,冷啟動；冷開機,
cold boot loader,冷啟動載入器,
cold cathode,冷陰極,
cold cathode digital displays,冷陰極數位顯示器,
cold cathode discharge,冷陰極放電,
cold cathode tube,冷陰極管,
cold circuit,冷電路,
cold iron soldered joint,冷鐵焊接,
cold joint,冷結合,
cold junction,冷連接,
cold plate,冷板,
cold site,冷站點,冷站點
cold solder joint,冷焊點,
cold start,冷起動；冷開機,冷啟動
cold trap,冷陷阱,
cold type,冷型,
cold weld,冷焊,
cold working,冷加工,
collaboration object,合作目標,協作對象
collaborative agent,合作代理,合作主體
collaborative authoring,合作著作,協同著作
collaborative information system development,合作資訊系統開發,協作信息系統開發
collaborative multimedia,合作多媒體,協同多媒體
collaborative work,合作工作,協同工作
collapse,破裂,
collapse field of magnetic bubble,場磁泡陷縮,
collapse radius of magnetic bubble,磁泡陷縮半徑,
collar,軸環；凸環,
collar bush,軸環襯,
collate,對照；理序,理序
collate program,對照程式,
collateral,並行；附帶；抵押品,
collateral action,附帶行動,
collateral clause,附帶子句,
collateral declaration,附帶宣告,
collateral dipole,並行雙極,
collateral elaboration,附帶加工,
collateral execution,附帶執行,
collating,對照；理序,理序
collating sequence,對照順序,理序序列
collating sequence clause,對照順序子句,
collating unit,對照單元,
collation,對照,
collation file code,對照檔案碼,
collation operation,對照作業,
collation pass,對照通,
collation sequence,對照順序,理序序列
collation working file,對照工作檔案,
collator,對併器,整理機
collecting garbage element,收集無用元件,
collection,收集；集合,
collection dictionary,集合辭典,
collection of mathematical function,數學函數收集,
collection of node,節點收集,
collection of record,記錄收集,
collection of related data record,相關資料記錄收集,
collection of segmented input,分段輸入收集,
collection of tuple of tree,樹元收集,
collection station,收集站,
collective,集體,
collective address group,集體位址群,
collective call,集體呼叫,
collective link,集體鏈接,
collective routing indicator,集體選路指示器,
collective sampling unit,集體抽樣單位,
collector,集極,
collector area,集極面積,
collector backward current,集極反向電流,
collector barrier,集極屏障,
collector base diode,集極基底二極體,
collector base junction,集極基底連接,
collector beam lead,集極束引線,
collector body resistance,集極本體電阻,
collector characteristic,集極特性,
collector contact,集極接觸,
collector coupling,集極耦合,
collector current,集極電流,
collector cut off current,集極截止電流,
collector diffusion isolation,集極擴散隔離,
collector dot,集極接點,
collector dotting,集極接點,
collector etch,集極蝕刻,
collector grid,集極柵,
collector isolation leakage,集極隔離漏流,
collector junction,集極接面,
collector junction diode,集極接面二極體,
collector lead,集極引線,
collector mesh,集極網,
collector node,集極節點,
collector power supply,集極電源供應,
collector region,集極區域,
collector resistance,集極電阻,
collector resistor,集極電阻器,
collector saturation resistance,集極飽和電阻,
collector saturation voltage,集極飽和電壓,
collector series resistance,集極串聯電阻,
collector substrate capacity,集極基體容量,
collimator,視準儀,
collision,碰撞,碰撞
collision avoidance,碰撞避免,
collision detect,碰撞檢測,
collision detection,碰撞檢測,碰撞檢測
collision enforcement,強制碰撞,碰撞強制[處理]
collision resolution technique,碰撞解除技術,
collision vector,碰撞向量,沖突向量
collocation,連語,
colon,冒號,
color,彩色,"彩色, *色"
color balance,色彩平衡,色平衡
color cycling,色彩循環,
color depth,色深度,色深度
color difference computer,色差計算機,
color display,彩色顯示器,彩色顯示器
color graphic,彩色圖形,
color graphic mode,彩色圖形模式,
color graphic work station,彩色圖形工作站,
color graphics adapter,彩色圖形配接器,
color graphics monochrome adapter,彩色圖形單色配接器,
color histogram,彩色直方圖,顏色直方圖
color image,彩色影像,彩色圖像
color key,色鍵,色鍵
color look-up table,查色表,查色表
color map,色彩圖,
color map table,色映射表,
color mapping,彩色對映,色映射
color master,主色,
color matching,彩色匹配,色匹配
color model,彩色模型,色模型
color moment,色矩,色矩
color monitor,彩色螢幕,
color palette,顏色選擇；調色板,
color printer,彩色印表機,彩色打印機
color purity,彩色純度,色純度
color saturation,彩色飽和度,"色飽和度, *色彰度"
color set,色集,色集
color space,色空間,色空間
color subsampling,色彩次選樣,
color system,彩色系統,顏色系統
color table,色彩表,
color temperature,色溫,色溫
color/graphics adapter,彩色圖形適配器,彩色圖形適配器
colorable graph,可著色圖,
color-bleeding resistance,色洩阻,
colorimetry,色度學,色度學
color-matching function,色匹配函數,色匹配函數
colour,色；色彩；彩色,
colour coding,彩色編碼,
colour display,彩色顯示,
colour look up table,色彩查找表,
coloured noise,有色雜訊,
coloured Petri net,著色Petri網,著色佩特里網
column,行；直行,列
column address,行位址,列地址
column address strobe,行位址選通,列地址選通
column bar test,直條棒測試,
column binary,行二進制,
column decoding,行解碼,列譯碼
column guide,欄導引,
column header,行標頭,
column margin,欄邊際,
column mean,欄平均,
column number,行數,
column pitch,行間距,
column printer,直行式列印機,
column select,行選擇,
column selection,行選擇,列選
column separator,行分隔符,
column split,行分裂,
column variable,行變數,
column vector,行向量,
column width,欄寬度,
column-major array layout,主欄陣列布局,
COM device,計算機輸出微縮膠卷裝置,
COM graph plotter,計算機微縮膠片圖形繪圖器,
COM plotter/printer,計算機微縮膠片繪圖／列印機,
COM printer,電腦輸出微膠片列印機,
"COM1, COM2","第1,2串列介面",
comb,梳,存取梳
comb structure,梳式,
combination,組合,
combination of automata,自動機組合,
combinational (Boolean) function,組合布林函數,
combinational circuit,組合電路,
combinational logic circuit,組合邏輯電路,組合邏輯電路
combinational logic element,組合邏輯元件,
combinational logic synthesis,組合邏輯合成,組合邏輯綜合
combinational network,組合網路,
combinatorial algorithms,組合演算法,
combinatorial explosion,組合展開,
combinatorial optimization problem,組合的最佳化問題,
combinatorial programming,組合的程式設計,
combinatory logic,組合邏輯,
combine,合併,
combine code,合併碼,
combine interval,合併間隔,
combine requirements,合併需求,
combine requirements code,合併需求碼,
combined error,組合錯誤,
combined head,組合磁頭,組合[磁]頭
combined index,組合索引,
combined print and punch,組合列印與打孔,
combined quantity,組合量,
combined station,組合站,組合站
combined strategy,組合策略,組合策略
combined vector and raster data structure,組合向量與光柵資料結構,向量與柵格混合數據結構
combining character,組合字元,組合用字符
combining function,組合函數,
coming on-line,即將連線,
COMIT II,COMIT II語言,
comma,逗號,
comma operator,逗號運算子,
command,命令,命令
command and control system,指揮與管制系統；命令與控制系統,
command area,命令區,
command buffer,命令緩衝區,命令緩沖區
command chaining,命令鍊接,
command character,命令字元,
command code,命令碼,
command communication and telemetry system,命令通信遙測系統,
command continuation,命令延續,
command control,命令控制,
command control and communication system,指揮管制通信系統,
command control block,命令控制塊,命令控制塊
command control link,命令控制鏈接,
command control program,命令控制程式,
command control subsystem,命令控制子系統,
command control system,命令控制系統,命令控制系統
command control word,命令控制字,
command decoder,命令解碼器,
command definition,命令定義,
command definition statement,命令定義敘述,
command definition utility,命令定義公用程式,
command destruction,命令破壞,
command dispatcher,命令調度器,
command display,命令顯示,
command display station,命令顯示站,
command file,命令檔,
command file application,命令檔應用,
command file name,命令檔名,
command file processing,命令檔處理,
command file to terminal interplay,命令檔與終端的相互作用,
command format,命令格式,
command frame,命令框,
command function key,命令功能鍵,
command gate,命令閘,
command generating circuit,命令產生電路,
command generating network,命令產生網路,
command generator,命令產生器,
command group,命令組,
command guidance,命令導引,
command identifier,命令識別符,
command information,命令資訊,
command input,命令輸入,
command input buffer,命令輸入緩衝器,
command instruction,命令指令,
command instruction format,命令指令格式,
command interface,命令介面,命令接口
command interpretation,命令解譯,
command interpreter,命令解譯器,命令解釋程序
command job,命令工件,命令作業
command key,命令鍵,
command key indicator,命令鍵指示器,
command language,命令語言,命令語言
command language interpreter,命令語言解譯器,
command language,命令語言,
command level,命令等級,
command line,命令行,
command line interface,命令行介面,命令行接口
command line interpreter,命令行解譯器,
command line operating system,命令行作業系統,
command line utility,命令行公用程式,
command list,命令列表,
command logic,命令邏輯,
command mix,命令混合,
command mode,命令模式,
command mode time-sharing,命令模式分時,
command name,命令名稱,
command net,命令網,
command node,命令節點,
command operation,命令操作,
command parameter,命令參數,
command phase,命令階段,
command pointer,命令指標,
command procedure,命令程序,
command process,命令處理,
command processing,命令處理,
command processor,命令處理機,命令處理程序
command program,命令程式,
command qualifier,命令限定符,
command readout,命令讀出,
command receiver selected logic,命令接收器選出邏輯,
command reentry,命令重入,
command register circuit,命令暫存器電路,
command register,命令暫存器,
command reject,命令拒絕,
command rejection,命令拒絕,
command response,命令回應,
command retry,命令再試,命令重試
command rollback,命令轉返,
command search,命令搜尋,
